,Rating,Lang,Type,Country,Date,Helpful,translated
72,5,it,Verified,Italy,11/1/2020,43,"What to say? My daughter LOVES him and I with her. Very soft, zero visible seams, tender and especially functional. It reproduces according to the choice of music, white noise, the sound of the Breath or heartbeat. Also the otter tummy lights up and moves as if breathing. For the newborn is a real comfort in the cradle, always kept in safety, I place it away from his face so that he can perceive it even just by touching it with his hand. Wonderful purchase, we are really happy!"
85,5,it,Not Verified,Italy,9/10/2019,36,"I decided to test this plush to my grandson, just three years old. As soon as he saw it he was very happy and he exclaimed it was: ""Zia, it's very soft!"" Actually the plush is really soft to the touch and a real companion for the nights, of our children. The animal represented is a gray otter, a toy animal that is able to help children play and also relax, during the night and during the time they rest. This otter is able to emit vibrations that calm and relax the child, but also of music, very sweet. It is suitable for babies from 0 months up, let's say until 3-4 years of age. In any case, even if the kids get bigger, will remain his companion at night and play. An aspect that struck me, it was the fact of having used the sounds of nature, to relax and calm the little ones and I have to say that they really work. The sounds have a length of about half-hour. Our bright effects are also attractive in the AAA."
107,5,it,Verified,Italy,8/12/2019,2,"An unusual pet, this otter is beautiful! Cute melodies, light in the tummy and fantastic ""breath"" mode.. I bought it to put it near my 2 month old baby when sleeps because he likes contact very much, it didn't work but we love it when wake up!!:) only flaws the price a little 'high even if much lower than the store"
109,4,it,Verified,Italy,4/2/2021,1,"Beautiful, soft and very relaxing. It comes with behind (back) the keys you can select (-/+ for the volume, the notes for the type of music to select, the type of noise you want to put (heart beat, white noise etc, the belly moving or not, the light on or off).. all these keys are great and customizable depending on what the baby wants. My (10 months) is used to sleeping with the music box all night long and otter has a duration of 30 Min, but alas I wouldn't know if she might like it since she doesn't sleep absolutely with puppets.. but I can say that to this she has become fond of in a hurry (which is very strange).. we will see in the next nights if I can introduce her into the dwarfs!! Anyway recommended purchase, the only flaw is that 5.99 euro shipping is too much!!! At the end it costs less in the store!!"
113,4,it,Verified,Italy,21/02/2020,2,"Plush tender, my 16-month-old loves it, sleeps hugged and cuddles him even when he wakes up. I put four stars because unfortunately, at least in my case, the mechanism that makes the belly of the puppet raise and lower emits an annoying hum. However, it remains effective in the function of the white noises and of the breath, that reconcile the sleep to my baby accompanying her towards a deep sleep and now is for her an indispensable companion! It does not do miracles, if sleeplessness or agitation are due to other ailments (e.g. identification) you have to intervene to solve those, but even in these cases the plush helps the child at least to relax and comfort, along with the cuddles of mom and dad, obviously!"
115,5,it,Verified,Italy,12/11/2019,3,"I love it, simply. I bought it after seeing it in a shop, I fell in love with it right away. Very soft and relaxing. The sounds are lovely and the heart movement is simply divine!!"
116,5,it,Verified,Italy,25/10/2019,5,"Beautiful product, the only problem and that the puppet has little padding so you feel a lot the plastic of the internal machine. Despite that, my 2.5 year old adores it, and sleeps hugged every night."
125,5,it,Verified,Italy,7/8/2020,2,"Perfect!! Relaxed very much my son of 4 months, it was a salvation especially to promote sleep and relieve a little the small problems of the teeth and colics. Before he slept only in his arms or anyway he had to feel my contact now I can relax because he relaxes also with this nice otter"
138,5,it,Verified,Italy,25/04/2020,,"The otter accompanies the dwarfs of my baby with its sweet melodies, much prettier than those of the music box that I had bought her. It is very soft and, if you put the breath mode, raises and lowers the belly.( the batteries with this mode are consumed at the speed of light though) Otherwise you can only put the music mode and set the volume. (the keys are behind the plush). It is easy to wash, just remove the envelope from the rigid inside through a zip."
146,2,it,Verified,Italy,23/11/2020,,"Functional carillon, my 4 month old girl falls asleep listening to the melodies that play sweetly for 30 minutes. I find it useless everything else (breath and various sounds) and I don't know if maybe the light can serve later. The design is bad, this animal nn is not at all nice to see for the little ones, so much so that I had to make some changes (put a pink dress, add a bow in the head and create the eyes). The controls are inside the puppet and therefore not practical: if the baby sleeps awake with the noise of the tear that gives access to the various buttons. For what it is, it is really too expensive."
